0,250,500,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500,3750,4000
00.00,00.47,00.93,02.11,02.72,03.51,04.34,04.91,05.48,05.99,06.72,07.13,08.00,08.92,09.49,09.87,10.94
00.00,00.71,01.22,01.90,02.30,02.87,03.75,04.42,04.99,05.51,06.07,06.64,07.16,07.78,08.42,08.91,09.28
00.00,00.71,01.17,01.73,01.99,02.53,02.97,03.30,03.94,04.16,04.45,04.89,05.27,05.69,06.02,06.45,06.88
00.00,00.36,00.62,01.36,01.95,02.30,02.95,03.39,03.79,04.11,04.50,04.72,04.98,05.28,05.61,05.95,06.14
00.00,00.27,00.61,01.11,01.77,02.06,02.58,02.99,03.38,04.05,04.63,05.24,05.62,06.04,06.32,07.10,07.59
00.00,00.36,01.39,01.95,02.86,03.46,03.81,04.53,05.35,05.92,06.71,07.70,08.61,09.15,09.95,10.49,11.01
00.00,00.36,00.92,01.21,01.46,01.93,02.39,02.68,02.94,03.42,04.09,04.58,04.84,05.11,05.57,06.11,07.17
00.00,00.46,01.07,01.42,01.77,02.11,02.40,02.78,03.02,03.29,03.75,04.16,04.76,05.16,05.46,05.81,06.24
00.00,00.51,00.93,01.57,01.96,02.59,03.29,03.61,04.11,04.60,04.91,05.34,05.84,06.40,06.84,07.20,07.88
00.00,00.41,01.49,02.38,03.00,03.84,04.50,05.25,06.26,07.05,07.80,08.32,08.93,09.55,10.45,11.28,12.21
00.00,00.44,01.00,01.57,01.96,02.51,02.84,03.47,04.01,04.51,04.80,05.20,05.66,06.20,06.54,06.96,07.42
00.00,00.39,00.80,01.35,01.74,02.98,03.59,04.03,04.44,04.79,05.22,05.48,05.96,06.23,06.99,07.37,07.88
00.00,00.30,00.74,01.52,01.85,02.39,02.95,03.51,03.92,05.03,05.47,05.84,06.50,06.94,07.39,07.85,08.09
00.00,00.44,00.70,01.05,01.35,01.80,02.55,02.83,03.39,03.72,04.09,04.83,05.41,05.76,06.14,06.51,06.88
00.00,00.51,00.83,01.29,01.52,01.91,02.27,02.78,03.42,03.78,04.11,04.38,04.63,05.38,05.84,06.16,06.62
